1.00612	0	5360
1.01281	5360	5896
1.01399	5896	6432
1.01517	6432	6968
1.03064	6968	7504
1.03182	7504	8040
1.033	8040	8576
1.05464	8576	9112
1.05582	9112	9648
1.057	9648	10184
1.07864	10184	10720
1.07982	10720	11256
1.081	11256	11792
1.10264	11792	12328
1.10382	12328	12864
1.105	12864	13400
1.12664	13400	13936
1.12782	13936	14472
1.15065	14472	3000
1.15124	3000	2464
1.15183	2464	1928
1.15242	1928	1392
1.15301	1392	1072
1.15339	1072	856
1.1573	856	1072
1.1573	1072	2144
1.17523	2144	2680
1.19923	2680	3216
1.22323	3216	3752
1.24841	3752	4288
1.27338	4288	4824
1.32041	4824	5360
1.36723	5360	5896
1.39301	5896	856
1.39966	856	1072
1.39966	1072	2144
1.41523	2144	2680
1.43865	2680	2144
1.43924	2144	1608
1.43983	1608	1072
1.4453	1072	2144
1.45172	2144	2680
1.46966	2680	3216
1.48938	3216	3752
1.53523	3752	4288
1.56041	4288	4824
1.60723	4824	5360
1.63338	5360	5896
1.68138	5896	6432
1.75123	6432	6968
1.80041	6968	7504
1.84938	7504	8040
1.92041	8040	8576
1.99241	8576	9112
2.06441	9112	9648
2.13641	9648	10184
2.23123	10184	10720
2.30441	10720	11256
2.40041	11256	11792
2.47302	11792	1392
2.47339	1392	1072
2.48632	1072	3216
2.49641	3216	3752
2.52138	3752	4288
2.54442	4288	1392
2.54501	1392	1072
2.54539	1072	856
2.55107	856	1072
2.55107	1072	2144
2.56841	2144	2680
2.59241	2680	3216
2.61641	3216	3752
2.64138	3752	4288
2.68723	4288	4824
2.71338	4824	5360
2.76041	5360	5896
2.80841	5896	6432
2.85738	6432	6968
2.92723	6968	7504
2.97641	7504	8040
3.04723	8040	8576
3.11923	8576	9112
3.19123	9112	9648
3.26323	9648	10184
3.33738	10184	10720
3.43123	10720	11256
3.52723	11256	11792
3.60138	11792	12328
3.71923	12328	12864
3.81641	12864	13400
3.91338	13400	13936
4.03241	13936	14472
4.15123	14472	15008
4.27123	15008	15544
4.39241	15544	16080
4.51338	16080	16616
4.65641	16616	17152
4.79923	17152	17688
4.94323	17688	18224
5.08723	18224	18760
5.23123	18760	19296
5.37738	19296	19832
5.54441	19832	20368
5.61701	20368	856
5.62366	856	1072
5.62366	1072	3216
5.63923	3216	3752
5.66441	3752	4288
5.68938	4288	4824
5.73641	4824	5360
5.78441	5360	5896
5.83123	5896	6432
5.88041	6432	6968
5.92938	6968	7504
5.99923	7504	8040
6.07123	8040	8576
6.12138	8576	9112
6.19338	9112	9648
6.24101	9648	856
6.24766	856	1072
6.24766	1072	2680
6.26441	2680	3216
6.28841	3216	3752
6.31338	3752	4288
6.35923	4288	4824
6.38538	4824	5360
6.43338	5360	5896
6.48041	5896	6432
6.52938	6432	6968
6.59923	6968	7504
6.64841	7504	8040
6.71923	8040	8576
6.79123	8576	9112
6.86323	9112	9648
6.93641	9648	10184
7.00938	10184	10720
7.10441	10720	11256
7.12724	11256	2464
7.12783	2464	1928
7.12842	1928	1392
7.12901	1392	1072
7.12939	1072	856
8.10441	856	536
8.3177	536	1072
8.32494	1072	1608
8.33217	1608	2144
8.33999	2144	2680
8.35269	2680	3216
8.36052	3216	3752
8.36775	3752	4288
8.37557	4288	4824
8.38399	4824	5360
8.39181	5360	5896
8.39905	5896	6432
8.40687	6432	6968
8.41528	6968	7504
8.42354	7504	8040
8.4318	8040	8576
8.44124	8576	9112
8.45186	9112	9648
8.46248	9648	10184
8.47016	10184	9648
8.47075	9648	9112
8.47134	9112	8653
8.47193	8653	8321
8.47252	8321	7989
8.47311	7989	7658
8.4737	7658	7326
8.47429	7326	6994
8.47488	6994	6662
